Nama Lokasi,Level,Polygon XML
Bekasi > Bekasi Selatan > Rukan Grand Galaxy City,3,"<coordinates>106.9710485637188,-6.263694186984803 106.97077766060829,-6.266802963433057 106.96948416531086,-6.266621663085274 106.96949623525143,-6.2664110346609325 106.97055973112583,-6.266521681248873 106.97077095508575,-6.263640863041982 106.9710485637188,-6.263694186984803 </coordinates>"
Bekasi > Bekasi Selatan > Ruko Galaxi Boulevard,,
Bekasi > Bekasi Selatan > Ruko Mega Kalimalang,,
Bekasi > Bekasi Selatan > Ruko Mutiara Bekasi Center,,
Bekasi > Bekasi Selatan > Ruko Permata,3,"<coordinates>106.9904825091362,-6.256522067792587 106.99043959379196,-6.256676709319383 106.99089020490646,-6.256762028762863 106.99091702699661,-6.25663938205848 106.99048519134521,-6.256522067792587 106.9904825091362,-6.256522067792587 </coordinates>"
Bekasi > Bekasi Selatan > Ruko Sentra Niaga Kalimalang,,
Bekasi > Bekasi Selatan > Ruko Taman Galaxy,3,"<coordinates>106.96821078658104,-6.257881845167203 106.96825034916401,-6.256650046990447 106.9684823602438,-6.25666337815508 106.96846023201942,-6.257905841206757 106.96821078658104,-6.257881845167203 </coordinates>"
Bekasi > Bekasi Selatan > Ruko Taman Galaxy Indah,,
Bekasi > Bekasi Selatan > Sentra Niaga Kalimalang,3,"<coordinates>106.99033096432686,-6.244899826314099 106.9902853667736,-6.245691714692814 106.99067428708076,-6.2457077124254985 106.99064746499062,-6.244899826314099 106.99033096432686,-6.244899826314099 </coordinates>"
Bekasi > Bekasi Selatan > Suncity Square,3,"<coordinates>106.99622578918934,-6.2485699655618445 106.99629418551922,-6.248491310468236 106.99646450579166,-6.2486112928096595 106.99642561376095,-6.248683282201331 106.99622578918934,-6.2485699655618445 </coordinates>"
Bekasi > Bekasi Selatan > The Green Hotel,3,"<coordinates>106.99142094701529,-6.244367900619575 106.99141826480627,-6.244427892266302 106.99145916849375,-6.244419893380469 106.99144642800093,-6.24436856719347 106.99142094701529,-6.244367900619575 </coordinates>"
Bekasi > Bekasi Timur,,
Bekasi > Bekasi Timur > Bekasi Junction,3,"<coordinates>107.00259201228619,-6.240892372822224 107.00257860124111,-6.241552284937063 107.00292326509953,-6.241758923913234 107.00311906635761,-6.241754924449943 107.00323574244976,-6.24157894803535 107.00319014489651,-6.241438966754243 107.00307615101337,-6.241300318591309 107.00306542217731,-6.241096345746473 107.00327195227146,-6.240963030118692 107.00325720012188,-6.240877708099116 107.00303591787815,-6.24071239664664 107.00281865894794,-6.240731060845508 107.00259201228619,-6.240892372822224 </coordinates>"
Bekasi > Bekasi Timur > Bekasi Plaza,,
Bekasi > Bekasi Timur > Bekasi Trade Center,3,"<coordinates>107.02089004218578,-6.258564398750747 107.02175371348858,-6.258982995624515 107.02192135155201,-6.258593727205051 107.0211274176836,-6.25812180551306 107.02089004218578,-6.258564398750747 </coordinates>"
Bekasi > Bekasi Timur > Blu Plaza,3,"<coordinates>107.0085833966732,-6.2569140039870454 107.00690433382988,-6.256266109302851 107.00696870684624,-6.256020815632555 107.00674340128899,-6.25591683241149 107.00680777430534,-6.255676871053148 107.00671121478081,-6.255636877482723 107.00678631663322,-6.2554395758238 107.0075212419033,-6.2556582073873415 107.00759366154671,-6.2555115642755545 107.00876578688622,-6.25591683241149 107.00876042246819,-6.256602054794918 107.0085833966732,-6.2569140039870454 </coordinates>"
Bekasi > Bekasi Timur > Borobudur Bekasi,3,"<coordinates>107.01213262975216,-6.248664618285915 107.01192609965801,-6.249025898244383 107.01170213520527,-6.248872587591369 107.0116900652647,-6.248699279842568 107.01165117323399,-6.248673950243699 107.01137624680996,-6.248643288096076 107.01135613024235,-6.248423320462554 107.01149560511112,-6.248248679427062 107.01173968613148,-6.248427319874892 107.01182954013348,-6.248435318699493 107.01186574995518,-6.248500642429112 107.01213397085667,-6.248653953191104 107.01213262975216,-6.248664618285915 </coordinates>"
Bekasi > Bekasi Timur > Bunga Karang Hotel,3,"<coordinates>107.00201366096735,-6.247355476273183 107.00204987078905,-6.247380139365814 107.00207468122244,-6.247356142843274 107.00203981250525,-6.247330146609279 107.00201366096735,-6.247355476273183 </coordinates>"
Bekasi > Bekasi Timur > Giant Express,3,"<coordinates>107.01195023953915,-6.248612625946648 107.01196230947971,-6.2486672845595725 107.01204009354115,-6.2486592857385475 107.01202131807804,-6.248599294576754 107.01195023953915,-6.248612625946648 </coordinates>"
Bekasi > Bekasi Timur > Pertokoan Mitra Bekasi,,
Bekasi > Bekasi Timur > Ruko Kalimas,3,"<coordinates>107.01644092798233,-6.259964164052313 107.01800733804703,-6.260564062318996 107.01813340187073,-6.260318770666557 107.01656967401505,-6.259774862678476 107.01644092798233,-6.259964164052313 </coordinates>"
Bekasi > Bekasi Timur > Ruko Proyek,,
Bekasi > Bekasi Timur > Ruko Puri Sentosa,3,"<coordinates>107.14757144451141,-6.370160510657005 107.14804351329803,-6.37028846177479 107.14817225933075,-6.369712681493538 107.14774310588837,-6.369606055444643 107.14757783184314,-6.3701570372803324 107.14757144451141,-6.370160510657005 </coordinates>"
Bekasi > Bekasi Utara,,
Bekasi > Bekasi Utara > BSI Square,3,"<coordinates>106.99915040284395,-6.1877547288846975 106.99919197708368,-6.187752728947792 106.99919801205397,-6.187809393823657 106.99915912002325,-6.187809393823657 106.99915078175025,-6.1877550024869645 106.99915040284395,-6.1877547288846975 </coordinates>"
Bekasi > Bekasi Utara > Giant Wisma Asri,3,"<coordinates>107.03196488320827,-6.211227466260373 107.03199036419392,-6.2112981275480035 107.03203193843365,-6.2112834619985104 107.03199572861195,-6.211206134549059 107.03196488320827,-6.211227466260373 </coordinates>"
Bekasi > Bekasi Utara > Naga Supermarket Wisma Asri,3,"<coordinates>107.01982621103525,-6.221125953627405 107.01983761042356,-6.2211632834177015 107.01990064233541,-6.221143951919493 107.01988186687231,-6.221108621938155 107.01982621103525,-6.221125953627405 </coordinates>"
Bekasi > Bekasi Utara > Ruko Duta Harapan,,
Bekasi > Bekasi Utara > Ruko Fitrah Jaya,,
Bekasi > Bekasi Utara > Sinpasa Commercial,,
