Nama Lokasi,Level,Polygon XML
Jakarta > Ancol > Universitas Bunda Mulia,3,"<coordinates>106.81734390556812,-6.130160750960407 106.81729830801487,-6.129958068665796 106.81729394942522,-6.1299460677380315 106.81756887584925,-6.129922065881727 106.81780893355608,-6.129882729503756 106.8178491666913,-6.129874062165848 106.81836146861315,-6.129796722836744 106.81868467479944,-6.129746052235726 106.81870076805353,-6.129739385051027 106.81872557848692,-6.1298647281094825 106.81894350796938,-6.129831392192537 106.8190011754632,-6.129838726094447 106.81904543191195,-6.129860061081236 106.81907761842012,-6.12989673058777 106.81909572333097,-6.129953401638376 106.81911181658506,-6.130240090390303 106.81914400309324,-6.130446772883319 106.81913662701845,-6.130476775174036 106.81911449879408,-6.1305007770054045 106.81908365339041,-6.130512111203172 106.81874301284552,-6.130572782492998 106.81870747357607,-6.130585450124068 106.81868199259043,-6.13061478568961 106.81863840669394,-6.1306841242926495 106.8185881152749,-6.130727460914992 106.81855123490095,-6.130702792376552 106.81834403425455,-6.130589450428564 106.81833799928427,-6.1305994511896476 106.81811403483152,-6.130476775174036 106.81811805814505,-6.13046477425795 106.81798059493303,-6.130388101732148 106.81791085749865,-6.130348765388553 106.81783642619848,-6.130306762170989 106.81777741760015,-6.130406769826407 106.81734390556812,-6.130160750960407 </coordinates>"
Jakarta > Bendungan Hilir,,
Jakarta > Bendungan Hilir > Park Royale Apartment,3,"<coordinates>106.80878028273582,-6.212812676639849 106.80903241038322,-6.212652689265573 106.80918529629707,-6.212612692414406 106.80934354662895,-6.212780679168887 106.80933281779289,-6.2129966620601245 106.80916920304298,-6.213143317059222 106.80887147784233,-6.21312465187979 106.80878318493944,-6.212811686045941 </coordinates>"
Jakarta > Bendungan Hilir > Pasar Bendungan Hilir,2,"<coordinates>106.81504659354687,-6.216201731089663 106.81464426219463,-6.215664443425669 106.81486286222935,-6.215487125043901 106.81487124413252,-6.215481792159319 106.81485716253519,-6.215339137476537 106.81484173983335,-6.2152951411647 106.81495036929846,-6.215160485763169 106.81486655026674,-6.2150731597170275 106.81486655026674,-6.215065160383831 106.81488264352083,-6.214873842961988 106.81503687053919,-6.214723855387504 106.81501004844904,-6.214694524479058 106.8148310109973,-6.214528538170868 106.81475725024939,-6.2144912079096075 106.81472171097994,-6.214469209718697 106.81474450975657,-6.2144338792889515 106.81485380977392,-6.214496540804241 106.8148960545659,-6.214531871229788 106.81492689996958,-6.214559202312075 106.81501608341932,-6.2146425287736955 106.81515622884035,-6.214788516702643 106.81533191353083,-6.215011164881584 106.81553777307272,-6.215279809115762 106.81570205837488,-6.215485125212195 106.81572619825602,-6.215519788960823 106.81586969643831,-6.215725771573863 106.8156598135829,-6.215789099545481 106.81528698652983,-6.216044411185304 106.815046928823,-6.216201064480007 </coordinates>"
Jakarta > Bendungan Hilir > Teras Benhil,3,"<coordinates>106.8148960545659,-6.214530538006225 106.81485313922167,-6.214493874356925 106.81476194411516,-6.21444721152687 106.81470025330782,-6.214407881424031 106.81473176926374,-6.214229229394453 106.81484241038561,-6.214207897804789 106.81492622941732,-6.2142365621282085 106.81500736624002,-6.214375217438079 106.81489672511816,-6.214529204782649 </coordinates>"
Jakarta > Bintaro,,
Jakarta > Bintaro > D' Hoek,3,"<coordinates>106.75610739737749,-6.271903342983062 106.75611477345228,-6.271903342983062 106.75613891333342,-6.271891345285215 106.75621066242456,-6.271903342983062 106.75622273236513,-6.271922672606805 106.75620261579752,-6.271952666849128 106.75613019615412,-6.271954666465216 106.75610605627298,-6.271903342983062 </coordinates>"
Jakarta > Bintaro > Graha Sumartadinata,,
Jakarta > Bintaro > Plaza Bintaro Satoe,3,"<coordinates>106.75745856016874,-6.271082166581534 106.75753433257341,-6.271082166581534 106.75753567367792,-6.271047506510161 106.75760675221682,-6.271046173430436 106.75760541111231,-6.271080833501911 106.75768788903952,-6.271082166581534 106.75768788903952,-6.271636060870979 106.75745721906424,-6.271636060870979 106.75745889544487,-6.271082166581534 </coordinates>"
Jakarta > Bintaro > Ruko Grand Bintaro,2,"<coordinates>106.75366256386042,-6.268783932245642 106.75391536206007,-6.268547976058999 106.75402466207743,-6.268443995332685 106.7543213814497,-6.2687359411654695 106.75398912280798,-6.269071878633874 106.75385165959597,-6.268934570885241 106.75366289913654,-6.268783932245642 </coordinates>"
Jakarta > Blok M,,
Jakarta > Blok M > Gedung Ayam Bulungan,,
Jakarta > Blok M > GOR Bulungan,,
Jakarta > Blok M > Gria Astika,2,"<coordinates>106.7930668964982,-6.242926765885148 106.79332572966814,-6.242875439551818 106.7933538928628,-6.243007421541647 106.79309841245413,-6.24306341389093 106.7930668964982,-6.242926765885148 </coordinates>"
Jakarta > Blok M > Hotel Gran Mahakam,3,"<coordinates>106.79497193545103,-6.24455520784934 106.79504167288542,-6.244495882790934 106.79503429681063,-6.2444692198411405 106.79543595761061,-6.244163928969329 106.7955432459712,-6.244296577208433 106.79520595818758,-6.244560540438525 106.7952374741435,-6.244609200312376 106.79508659988642,-6.2447058534730555 106.79497193545103,-6.24455520784934 </coordinates>"
Jakarta > Blok M > Pasar Mayestik,2,"<coordinates>106.7907078936696,-6.2407990518500105 106.79063010960817,-6.2407890531734385 106.79067436605692,-6.240541752511955 106.7907427623868,-6.240500424627228 106.79134022444487,-6.240588413023056 106.79140795022249,-6.241201665068433 106.79138246923685,-6.241255657877184 106.79131675511599,-6.241279654679282 106.79104451090097,-6.241240326586363 106.79067503660917,-6.241185667198107 106.79067369550467,-6.2411556711899285 106.79063480347395,-6.2411516717220445 106.79056774824858,-6.241133007538164 106.79060261696577,-6.241081681029076 106.79068107157946,-6.241013690061251 106.7907078936696,-6.2407990518500105 </coordinates>"
Jakarta > Blok M > Plaza Blok M,2,"<coordinates>106.79761927574873,-6.243482689744677 106.79787140339613,-6.2440372798654815 106.79789889603853,-6.244068608857168 106.79787676781416,-6.244095271827343 106.79789286106825,-6.244143265170262 106.79789889603853,-6.2442145886022935 106.79788280278444,-6.244312574983737 106.7978298291564,-6.244385231540454 106.79789420217276,-6.244453222070634 106.79788883775473,-6.244843834161184 106.79771717637777,-6.244893160581921 106.7974030226469,-6.244337238219721 106.79741106927395,-6.244333238776124 106.79715625941753,-6.243857304770446 106.79717771708965,-6.243742653936921 106.79761927574873,-6.243482689744677 </coordinates>"
Jakarta > Cakung,,
Jakarta > Cakung > Giant Ujung Menteng,2,"<coordinates>106.96036532521248,-6.187582067637882 106.95977255702019,-6.187414072857119 106.95935413241386,-6.186403436461817 106.959198564291,-6.185480795743484 106.96012124419212,-6.185270134775632 106.96070596575737,-6.1856514577318435 106.96080788969994,-6.186147443822771 106.96063354611397,-6.186419435997646 106.96036532521248,-6.187582067637882 </coordinates>"
Jakarta > Cakung > Mall Grand Cakung,2,"<coordinates>106.95817328989506,-6.1868100911804 106.95812903344631,-6.186470101191225 106.95823363959789,-6.185940783008097 106.9583972543478,-6.185707456184764 106.95879556238651,-6.185942116303935 106.95880495011806,-6.186223441650422 106.95884920656681,-6.186436768827571 106.9591710716486,-6.186534099323539 106.95924215018749,-6.1866754285049534 106.95917911827564,-6.186975419566695 106.95906914770603,-6.187184746562257 106.95856086909771,-6.187118081922985 106.95817328989506,-6.1868100911804 </coordinates>"
Jakarta > Cakung > Plaza Taman Modern Cakung,2,"<coordinates>106.94867223501205,-6.186374103978207 106.95021718740463,-6.186219441765033 106.95050150156021,-6.185803453518833 106.95124715566635,-6.186032780413001 106.95110231637955,-6.186694094620436 106.95164412260056,-6.18784605932834 106.95113450288773,-6.188102051144653 106.94973975419998,-6.187995387902925 106.94941252470016,-6.187723396539078 106.94861859083176,-6.1876593985507675 106.94867223501205,-6.186374103978207 </coordinates>"
Jakarta > Cakung > Ruko Inkapau,2,"<coordinates>106.90156795084476,-6.210396862111988 106.9018080085516,-6.210375530367012 106.9018267840147,-6.210454191172363 106.90174765884876,-6.211112808301806 106.90158002078533,-6.211668765844668 106.90139897167683,-6.212106065369917 106.90132789313793,-6.212283384890947 106.90132286399603,-6.2123447134331995 106.90118942409754,-6.212330047912878 106.90126050263643,-6.211990074372693 106.90135840326548,-6.211518110741169 106.90144758671522,-6.2110761444144345 106.90154012292624,-6.210628844782915 106.90154884010553,-6.210584181460532 106.90155621618032,-6.210518186395168 106.90154884010553,-6.210399528580054 106.90156795084476,-6.210396862111988 </coordinates>"
Jakarta > Cawang,,
Jakarta > Cawang > Carrefour MT Haryono,2,"<coordinates>106.86035078018904,-6.245077801331838 106.86036821454763,-6.244383231818846 106.86065521091223,-6.24437656608009 106.86095025390387,-6.244367900619575 106.8610555306077,-6.244353902567698 106.86108704656363,-6.244331239054313 106.86111386865377,-6.24428724517261 106.86130028218031,-6.244211255731866 106.86157118529081,-6.244185259341719 106.86179716140032,-6.244296577208433 106.86160068958998,-6.245071802174929 106.86035078018904,-6.245077801331838 </coordinates>"
Jakarta > Cawang > Menara Cawang,3,"<coordinates>106.86800848692656,-6.256211451484098 106.86749149113894,-6.256190121602074 106.86750657856464,-6.25592483112154 106.8680078163743,-6.255950160369212 106.86800848692656,-6.256211451484098 </coordinates>"
Jakarta > Cawang > MTH Square,3,"<coordinates>106.86924163252115,-6.244326573036745 106.86911288648844,-6.244265248230373 106.868852712214,-6.24416526211764 106.86879571527243,-6.2441332665575295 106.8687004968524,-6.244042612459946 106.86883058398962,-6.243915296752268 106.86900693923235,-6.243810644550533 106.86929997056723,-6.243829975213579 106.86942134052515,-6.244032613845268 106.86924163252115,-6.244326573036745 </coordinates>"
Jakarta > Cawang > Rumah Sakit Universitas Kristen Indonesia,,
Jakarta > Cempaka Putih,,
Jakarta > Cempaka Putih > C'One Hotel Plaza,3,"<coordinates>106.86239395290613,-6.172678323049195 106.86292100697756,-6.172462323666018 106.86290826648474,-6.172431657079791 106.8629364296794,-6.1724176571159175 106.8635131046176,-6.172182324334544 106.86355534940958,-6.172272324135798 106.86325628310442,-6.172394990506962 106.8632884696126,-6.172472323639417 106.8624958768487,-6.172796322675018 106.86248917132616,-6.172781656056299 106.86244357377291,-6.172800989326343 106.86239395290613,-6.172678323049195 </coordinates>"
Jakarta > Cempaka Putih > Carrefour Cempaka Putih,3,"<coordinates>106.87726143747568,-6.169304989298767 106.87680814415216,-6.16920032227571 106.87652584165335,-6.169154322112544 106.87645509839058,-6.168648986723931 106.87673404812813,-6.168483652613592 106.87739621847868,-6.16873365376855 106.87726143747568,-6.169304989298767 </coordinates>"
Jakarta > Cempaka Putih > Gedung Raudha,2,"<coordinates>106.82452853769064,-6.238371367575918 106.82513538748026,-6.238357369363793 106.82517897337675,-6.238687327121301 106.8249000236392,-6.238904632520877 106.82452853769064,-6.238371367575918 </coordinates>"
Jakarta > Cempaka Putih > Grand Cempaka Hotel,3,"<coordinates>106.86055965721607,-6.17350631986881 106.86099819839,-6.173310320738565 106.86115108430386,-6.173647652529955 106.86090297996998,-6.173943650999994 106.86062268912792,-6.173834318251039 106.86055965721607,-6.17350631986881 </coordinates>"
Jakarta > Cempaka Putih > Hotel Sentral,,
Jakarta > Cempaka Putih > Patra Jasa Jakarta Hotel,3,"<coordinates>106.87559343874454,-6.1735543196447455 106.8758925050497,-6.173450320124712 106.87604807317257,-6.173628985954235 106.87584824860096,-6.173836984903731 106.87559343874454,-6.1735543196447455 </coordinates>"
Jakarta > Cempaka Putih > Puri Mega Hotel,3,"<coordinates>106.86089627444744,-6.193509849275773 106.86107866466045,-6.193415186618983 106.86119131743908,-6.193543181193145 106.86114303767681,-6.193717840405749 106.86089627444744,-6.193509849275773 </coordinates>"
Jakarta > Cengkareng,,
Jakarta > Cengkareng > Apartement City Park,3,"<coordinates>106.73483077436686,-6.130728127632215 106.73520963639021,-6.130415437155664 106.73601932823658,-6.13149951891953 106.73562537878752,-6.1318288766574085 106.73482574522495,-6.130800799806282 106.73483077436686,-6.130728127632215 </coordinates>"
Jakarta > Cengkareng > Aston Hotel Cengkareng,3,"<coordinates>106.73329722136259,-6.1377246124329226 106.73329588025808,-6.137203912848705 106.733462177217,-6.136987232334031 106.73357013612986,-6.136986565624606 106.73355337232351,-6.137730612809283 106.73329722136259,-6.1377246124329226 </coordinates>"
Jakarta > Cengkareng > Cafe 12,3,"<coordinates>106.70813407748938,-6.1409508050413555 106.70827489346266,-6.141054144221203 106.70803282409906,-6.141342827114149 106.70791883021593,-6.141247488439329 106.70813407748938,-6.1409508050413555 </coordinates>"
Jakarta > Cengkareng > Ciffest,,
Jakarta > Cengkareng > Citra Garden Food Court,,
Jakarta > Cengkareng > Farmer Market,,
Jakarta > Cengkareng > Gedung OT,3,"<coordinates>106.72758780419827,-6.165736965495599 106.72823019325733,-6.165670298155693 106.72825433313847,-6.1658382998361985 106.72779433429241,-6.165904967154986 106.72784261405468,-6.166340971213215 106.72817252576351,-6.166302304201131 106.72819130122662,-6.166482305785123 106.7276830226183,-6.166556973090914 106.72758780419827,-6.165736965495599 </coordinates>"
Jakarta > Cengkareng > Golf Lake Residence,,
Jakarta > Cengkareng > Komplek Citra Garden 2,,
Jakarta > Cengkareng > Lottemart Taman Surya,3,"<coordinates>106.70380868017673,-6.131919550007017 106.70403398573399,-6.131058152563255 106.70501835644245,-6.131335506690807 106.7047917097807,-6.132182235947568 106.70380868017673,-6.131919550007017 </coordinates>"
Jakarta > Cengkareng > Mall Taman Palem,3,"<coordinates>106.73070017248392,-6.1391620339957855 106.73131439834833,-6.1391780349561085 106.73277150839567,-6.139217370648187 106.7327306047082,-6.140004750585311 106.73161815851927,-6.140007417407831 106.73135127872229,-6.1399474138975965 106.73055298626423,-6.139720067202995 106.73046313226223,-6.139460051802841 106.73058114945889,-6.139166700942597 106.73070017248392,-6.1391620339957855 </coordinates>"
Jakarta > Cengkareng > Ramayana Cengkareng,3,"<coordinates>106.72804780304432,-6.152908681726066 106.72823823988438,-6.152795344504854 106.72873847186565,-6.152827345605058 106.72873847186565,-6.153231359329426 106.72848634421825,-6.153248693244733 106.72837905585766,-6.153599371563536 106.7280263453722,-6.153595371431922 106.72804780304432,-6.152908681726066 </coordinates>"
Jakarta > Cengkareng > Ruko Citra,,
Jakarta > Cengkareng > Ruko Citra 2,2,"<coordinates>106.70677151530981,-6.144190978813212 106.70636381953955,-6.144138976180003 106.706468090415,-6.1433749369063815 106.70652039349079,-6.1430295854612185 106.7068824917078,-6.143085588413504 106.70739512890577,-6.143152258587093 106.70731399208307,-6.14385162820489 106.70724760740995,-6.144253648646479 106.70677151530981,-6.144190978813212 </coordinates>"
Jakarta > Cengkareng > Ruko Citra Garden 3,,
Jakarta > Cengkareng > Ruko Citra Garden 6,2,"<coordinates>106.70952446758747,-6.123274843572279 106.71042636036873,-6.122497439850677 106.71161457896233,-6.123750886115937 106.7152127623558,-6.12775389374025 106.71322256326675,-6.129535369158859 106.70797884464264,-6.1246816347372155 106.70952446758747,-6.123274843572279 </coordinates>"
Jakarta > Cengkareng > Ruko Citra Niaga,2,"<coordinates>106.70647982507944,-6.145142359423964 106.70566979795694,-6.144918348445152 106.70571070164442,-6.144640334688535 106.70575965195894,-6.14426764935291 106.70577373355627,-6.144238314539023 106.70581061393023,-6.144238314539023 106.70664612203836,-6.144348320082745 106.70653145760298,-6.1451343590335 106.70651603490114,-6.145149693115143 106.70647982507944,-6.145142359423964 </coordinates>"
Jakarta > Cengkareng > Ruko City Garden,,
Jakarta > Cengkareng > Ruko City Park,2,"<coordinates>106.734249740839,-6.1309088079732925 106.73461988568306,-6.130652788578938 106.73551306128502,-6.13181554233998 106.73513486981392,-6.132071561176211 106.734249740839,-6.1309088079732925 </coordinates>"
Jakarta > Cengkareng > Ruko Daan Mogot Baru,2,"<coordinates>106.70777197927237,-6.148696520995602 106.70908827334642,-6.146483089828913 106.70921836048365,-6.146449754951793 106.71026442199945,-6.147272459108782 106.71059232205153,-6.147392464471061 106.71074084937572,-6.147533804085268 106.71120621263981,-6.147577806032959 106.71205278486013,-6.147679810534076 106.71273104846478,-6.147824483551123 106.71339489519596,-6.147980490354907 106.71364970505238,-6.148087161647396 106.71381063759327,-6.148361840127102 106.71395882964134,-6.149344547895263 106.71396654099226,-6.149439218425618 106.71385992318392,-6.14965322709761 106.71360310167074,-6.149957905961785 106.71346563845873,-6.150123245841256 106.7134066298604,-6.150229250011128 106.71316757798195,-6.150365922022858 106.70965656638145,-6.15038458941686 106.70829836279154,-6.149459885933529 106.70764960348606,-6.148901862938165 106.70777197927237,-6.148696520995602 </coordinates>"
Jakarta > Cengkareng > Ruko Hawaii,2,"<coordinates>106.73488508909941,-6.132992961283175 106.73507619649172,-6.13323631198633 106.73359796404839,-6.1343970599762105 106.73357650637627,-6.1361918474125385 106.73434898257256,-6.136199847937362 106.7343382537365,-6.136527869351514 106.73352286219597,-6.136485199910693 106.73327341675758,-6.136242517401033 106.73330292105675,-6.134495733439485 106.73348262906075,-6.1340610366939465 106.73488508909941,-6.132992961283175 </coordinates>"
Jakarta > Cengkareng > Ruko Inter Kota,2,"<coordinates>106.7265846580267,-6.165042291402546 106.72690384089947,-6.165027624569292 106.72698430716991,-6.165991634656874 106.72663696110249,-6.166002301425356 106.7265846580267,-6.165042291402546 </coordinates>"
Jakarta > Cengkareng > Ruko Malibu,,
Jakarta > Cengkareng > Ruko Miami,,
Jakarta > Cengkareng > Ruko Mutiara Taman Palem,2,"<coordinates>106.73061568289995,-6.137311919718494 106.73096437007189,-6.136983232077535 106.73270009458065,-6.137038568956239 106.73279665410519,-6.1372265809589965 106.73274971544743,-6.139080029066606 106.7305714264512,-6.139047360432769 106.73061568289995,-6.137311919718494 </coordinates>"
Jakarta > Cengkareng > Ruko Plaza De Lumina,3,"<coordinates>106.72677241265774,-6.1643089492423435 106.72672547399998,-6.164546285543326 106.72559760510921,-6.164322282745206 106.725649908185,-6.164084946343998 106.72677292986032,-6.164309717909957 106.72677241265774,-6.1643089492423435 </coordinates>"
Jakarta > Cengkareng > Ruko Taman Kencana,,
Jakarta > Cengkareng > Ruko Taman Palem Lestari,2,"<coordinates>106.72963097691536,-6.138485326275626 106.72860369086266,-6.138538662875909 106.72759383916855,-6.138330650104613 106.72750800848007,-6.135877160007734 106.72901540994644,-6.1336690092636115 106.72981470823288,-6.133711678929884 106.72963097691536,-6.138485326275626 </coordinates>"
Jakarta > Cengkareng > Ruko Taman Palem Mutiara,,
Jakarta > Cengkareng > Ruko Taman Semanan Indah,,
Jakarta > Cengkareng > Ruko Taman Surya 2,,
Jakarta > Cengkareng > Ruko Taman Surya 3,,
Jakarta > Cengkareng > Taman Kuliner Daan Mogot,2,"<coordinates>106.71259894967079,-6.152165989142593 106.71332851052284,-6.151949981410064 106.71360209584236,-6.152526001835104 106.71420022845268,-6.153086021094317 106.7139883339405,-6.1534140321006765 106.71397224068642,-6.153742042904574 106.71300664544106,-6.153040686223842 106.71259894967079,-6.152165989142593 </coordinates>"
Jakarta > Cibubur,,
Jakarta > Cibubur > Bumi Perkemahan & Graha Wisata Pramuka Cibubur,3,"<coordinates>106.89812298864126,-6.362818595451637 106.89817126840353,-6.362818595451637 106.89816456288099,-6.362862579280816 106.89812231808901,-6.362856581486151 106.89812164753675,-6.362817929029951 106.89812298864126,-6.362818595451637 </coordinates>"
Jakarta > Cibubur > Cibubur Junction,3,"<coordinates>106.89437258988619,-6.3689149848282405 106.89373824745417,-6.369124238710013 106.8936349824071,-6.369410796435185 106.8936624750495,-6.369700686064138 106.8937348946929,-6.370039223630486 106.89395550638437,-6.370470392215468 106.89426865428686,-6.370378427385385 106.89467366784811,-6.370194497675769 106.89437272339728,-6.368915051383752 106.89437258988619,-6.3689149848282405 </coordinates>"
Jakarta > Cibubur > Ruko Cibubur Indah,3,"<coordinates>106.88536506146193,-6.351675237727627 106.88535567373037,-6.351818521474216 106.88608590513468,-6.351915154676126 106.88611339777708,-6.351752544312132 106.88536569414771,-6.351675268305277 106.88536506146193,-6.351675237727627 </coordinates>"
Jakarta > Cibubur > Ruko City Walk,3,"<coordinates>106.91608507186174,-6.376873236377093 106.91612061113119,-6.3768725699736635 106.9161219522357,-6.376911887774803 106.91609378904104,-6.3769125541781815 106.91608540713787,-6.376873236377093 106.91608507186174,-6.376873236377093 </coordinates>"
Jakarta > Cibubur > SPBU Cibubur,,
Jakarta > Cibubur > Telaga Arwana Cibubur,3,"<coordinates>106.90535020083189,-6.364284721062119 106.9052429124713,-6.364523299288346 106.90503168851137,-6.364442662525957 106.90499614924192,-6.364531962741397 106.90519731491804,-6.364613265909137 106.90517116338015,-6.364671244389746 106.90526101738214,-6.364718560156418 106.90538439899683,-6.364744550505268 106.90540384501219,-6.364694569064001 106.9056224450469,-6.364807193904792 106.90575052052736,-6.364511303737716 106.90535053610802,-6.364284721062119 106.90535020083189,-6.364284721062119 </coordinates>"
Jakarta > Cijantung,,
Jakarta > Cijantung > Cijantung Mall,3,"<coordinates>106.86190512031317,-6.311988772738329 106.86186019331217,-6.311950116470732 106.86180654913187,-6.311946117546329 106.86173748224974,-6.31201409925692 106.86173345893621,-6.3120980766517905 106.86165366321802,-6.31238599904513 106.86169188469648,-6.312411325544306 106.86162751168013,-6.312525961261877 106.8615946546197,-6.312633932088933 106.86157319694757,-6.312745901811742 106.86158459633589,-6.312980504962002 106.86153564602137,-6.312976506045563 106.86145652085543,-6.312989169280864 106.86140824109316,-6.3130224935827925 106.86137069016695,-6.313067148144033 106.8613438680768,-6.313123132961635 106.86133917421103,-6.313179784259 106.86135660856962,-6.31324110095034 106.86141762882471,-6.313317746804303 106.86148133128881,-6.3133464056859205 106.8615510687232,-6.313348405142715 106.8616147711873,-6.313326411117529 106.86174619942904,-6.313310415462244 106.86176363378763,-6.313345739200318 106.86206739395857,-6.313322412203749 106.86209958046675,-6.313290420892453 106.86190981417894,-6.312123403165025 106.8619054555893,-6.311988772738329 106.86190512031317,-6.311988772738329 </coordinates>"
Jakarta > Cijantung > Depot Cijantung,,
Jakarta > Cikini,,
Jakarta > Cikini > Apartemen Menteng Square,3,"<coordinates>106.8517405539751,-6.200086862438475 106.85202352702618,-6.200426843659305 106.85193635523319,-6.200480174026999 106.851901486516,-6.200456175362203 106.85174591839314,-6.2005855014873505 106.85177139937878,-6.200626832510356 106.8517043441534,-6.200681496116447 106.85143612325191,-6.200342848319249 106.8517405009784,-6.200087466309363 106.8517405539751,-6.200086862438475 </coordinates>"
Jakarta > Cikini > Cikini Gold,3,"<coordinates>106.84166215360165,-6.198332289203235 106.84210874140263,-6.197886978654216 106.84187270700932,-6.197685655498213 106.84184722602367,-6.197681655699628 106.84178955852985,-6.197714987353536 106.84176675975323,-6.19774431920723 106.84176407754421,-6.197776317591215 106.84173189103603,-6.197809649239143 106.8417251855135,-6.197913643967136 106.84169702231884,-6.197914977232759 106.84168361127377,-6.197980307243527 106.84166081249714,-6.197984307039848 106.84165544807911,-6.198041637450367 106.84156693518162,-6.198130966217151 106.84156157076359,-6.198189629876652 106.84155084192753,-6.198201629260754 106.84155084192753,-6.1982256280281165 106.84156961739063,-6.1982376274114035 106.84160716831684,-6.198212295379716 106.84164505451918,-6.19824696026487 106.84162057936192,-6.198274958824292 106.84166164054568,-6.198330657021705 106.84166215360165,-6.198332289203235 </coordinates>"
Jakarta > Cikini > Hotel Alia,3,"<coordinates>106.83781284838915,-6.190953284944073 106.83785509318113,-6.190955951510457 106.83784637600183,-6.190988616947468 106.83781553059816,-6.190984617098147 106.83781420665707,-6.19095334951712 106.83781284838915,-6.190953284944073 </coordinates>"
Jakarta > Cikini > Hotel Gren Alia,3,"<coordinates>106.8382004275918,-6.192383895871014 106.838190369308,-6.192429227374771 106.83814007788897,-6.192426560815843 106.83815147727728,-6.192381229311844 106.83819974173412,-6.192383840244958 106.8382004275918,-6.192383895871014 </coordinates>"
Jakarta > Cikini > Hotel Ibis Budget Building,2,"<coordinates>106.83865405619144,-6.19177392011093 106.83875598013401,-6.19174192136309 106.83877475559711,-6.191767253705288 106.83897860348225,-6.191615259633827 106.83894105255604,-6.191495264283349 106.83884717524052,-6.191539262581697 106.83869160711765,-6.1911726099835445 106.838393881917,-6.191233940981338 106.83854408562183,-6.19165125823366 106.83861248195171,-6.1916405919821065 106.8386544585228,-6.191773120142257 106.83865405619144,-6.19177392011093 </coordinates>"
Jakarta > Cikini > Hotel Mega Proklamasi,3,"<coordinates>106.84416800737381,-6.201642774702436 106.84440940618515,-6.201408121561554 106.84424847364426,-6.201205466492224 106.84395343065262,-6.201344125232285 106.84416264295578,-6.2016267756279655 106.84416800737381,-6.201642774702436 </coordinates>"
Jakarta > Cikini > Hotel Menteng I,3,"<coordinates>106.83569926768541,-6.190068650805746 106.83569926768541,-6.190106649438983 106.83574553579092,-6.190106649438983 106.83573950082064,-6.190068650805746 106.83569993823767,-6.190068650805746 106.83569926768541,-6.190068650805746 </coordinates>"
Jakarta > Cikini > Hotel Menteng II,3,"<coordinates>106.84015173465014,-6.19589707587542 106.84012021869421,-6.195899742416818 106.84011820703745,-6.1958530779402405 106.84014704078436,-6.195849744763183 106.84015240520239,-6.195896409240064 106.84015173465014,-6.19589707587542 </coordinates>"
Jakarta > Cikini > Hotel Puri Inn,3,"<coordinates>106.84200044721365,-6.1922419015766605 106.84204269200563,-6.192237235096856 106.84204872697592,-6.192282566613221 106.84201117604971,-6.1922805666934515 106.84200078248978,-6.1922419015766605 106.84200044721365,-6.1922419015766605 </coordinates>"
Jakarta > Cikini > Menteng Huis,3,"<coordinates>106.83636981993914,-6.187749395719602 106.83641072362661,-6.187741395971891 106.83642212301493,-6.187793394329925 106.83638859540224,-6.187796727557822 106.83637054207236,-6.187749318798944 106.83636981993914,-6.187749395719602 </coordinates>"
Jakarta > Cikini > Metropole 21,3,"<coordinates>106.84317223727703,-6.200261519485184 106.84383742511272,-6.199752214042369 106.84402786195278,-6.2000695300566395 106.84383876621723,-6.200206855835558 106.84362821280956,-6.200333515502854 106.8434914201498,-6.200384179361262 106.84338413178921,-6.200398845214117 106.84324868023396,-6.200365513729784 106.84317345596833,-6.20026227400737 106.84317223727703,-6.200261519485184 </coordinates>"
Jakarta > Cikini > Rumah Sakit Cipto Mangunkusumo,3,"<coordinates>106.84676706790924,-6.195275104724002 106.84707820415497,-6.195509760592845 106.84753954410553,-6.195221773830167 106.8486875295639,-6.196032402834864 106.84892356395721,-6.195829745700412 106.84905230998993,-6.1958830765328115 106.84588730335236,-6.199050918308442 106.84510409832001,-6.198506946830918 106.84513628482819,-6.19795230866847 106.84598386287689,-6.196437716870287 106.84628427028656,-6.195701751680673 106.84677842023234,-6.195279620743595 106.84676706790924,-6.195275104724002 </coordinates>"
Jakarta > Cikini > Taman Ismail Marzuki,3,"<coordinates>106.83999482542276,-6.189038020167411 106.84000421315432,-6.1890866851781 106.84005383402109,-6.189074685586842 106.84004176408052,-6.189028687151163 106.83999415487051,-6.189036686879384 106.83999482542276,-6.189038020167411 </coordinates>"
Jakarta > Cilandak,,
Jakarta > Cilandak > Alamanda Tower,3,"<coordinates>106.80442504584789,-6.290767381379403 106.80474825203419,-6.290831366777768 106.80460341274738,-6.2912339413950455 106.80443175137043,-6.291212612946319 106.80442649011434,-6.290767535190469 106.80442504584789,-6.290767381379403 </coordinates>"
Jakarta > Cilandak > BSS Building,,
Jakarta > Cilandak > Cahaya Swalayan,3,"<coordinates>106.81417185813189,-6.305532469580344 106.81416850537062,-6.305565794361811 106.8142107501626,-6.305573125813447 106.81420270353556,-6.305531803084704 106.81417219340801,-6.305532469580344 106.81417185813189,-6.305532469580344 </coordinates>"
Jakarta > Cilandak > Cilandak Mall,3,"<coordinates>106.81410647928715,-6.300814325409664 106.81416682898998,-6.300822323430156 106.81422986090183,-6.300278457755793 106.814169511199,-6.300266460712428 106.81410723384397,-6.300813592489729 106.81410647928715,-6.300814325409664 </coordinates>"
